Serial  Exact_Count  Global_Count  Error
730  378136  368153  2.6401
731  379342  369542  2.58355
732  380545  370937  2.52477
733  381625  373743  2.06537
734  382847  375152  2.00988
735  383895  376567  1.90885
736  385143  376567  2.2267
737  386212  376567  2.49733
738  387366  376567  2.7878
739  388514  378003  2.70544
740  389525  380888  2.21728
741  390610  380888  2.48889
742  391680  380888  2.75527
743  392922  380888  3.06266
744  394215  382355  3.00858
745  395322  382355  3.28018
746  396450  383831  3.18292
747  397628  385315  3.09658
748  398919  391276  1.91594
749  400065  392771  1.82312
750  401150  392771  2.08866
751  402259  392771  2.3586
752  403399  395799  1.884
753  404741  397322  1.83307
754  405917  397322  2.11747
755  407123  398854  2.031
756  408269  401936  1.55124
757  409486  405025  1.08939
758  410734  405025  1.38993
759  411881  406584  1.286
760  413115  408149  1.20217
761  414268  408149  1.47714
762  415337  409724  1.35147
763  416537  409724  1.63566
764  417758  411312  1.54295
765  418911  411312  1.81394
766  420191  412911  1.73258
767  421383  414517  1.62947
768  422530  417742  1.13326
769  423860  417742  1.44348
770  425095  419369  1.34688
771  426269  419369  1.61859
772  427548  419369  1.91289
773  428860  424303  1.06251
774  430101  424303  1.34798
775  431382  424303  1.64093
776  432710  424303  1.9428
777  434018  429308  1.08514
778  435344  429308  1.38642
779  436556  429308  1.6602
780  437714  429308  1.92036
781  439074  429308  2.22416
782  440354  431014  2.1211
783  441513  434433  1.60352
784  442839  434433  1.89815
785  444151  434433  2.18794
786  445454  436162  2.08601
787  446752  439630  1.59426
788  448169  439630  1.90539
789  449488  441377  1.80439
790  450797  441377  2.08952
791  452162  443136  1.99608
792  453516  443136  2.28868
793  454876  446689  1.79983
794  456197  452035  0.912387
795  457543  457396  0.0321162
796  458854  457396  0.317736
797  460169  459195  0.21168
798  461447  459195  0.488048
799  462744  461008  0.375058
800  464159  464656  0.107034
801  465507  466483  0.209725
802  466902  470159  0.697482
803  468233  470159  0.411239
804  469497  470159  0.140908
805  470816  470159  0.139639
806  472146  470159  0.420938
807  473598  470159  0.726237
808  474988  472034  0.621979
809  476298  472034  0.895306
810  477706  481487  0.791475
811  479102  483386  0.894101
812  480475  485288  1.00174
813  481962  487200  1.08685
814  483268  487200  0.813666
815  484675  487200  0.521006
816  486072  489131  0.629419
817  487472  491071  0.73824
818  488988  491071  0.425924
819  490409  491071  0.134931
820  491776  493030  0.255091
821  493228  496972  0.759151
822  494667  496972  0.46604
823  496061  496972  0.183717
824  497440  496972  0.0940121
825  498926  496972  0.391572
826  500275  496972  0.660168
827  501752  498986  0.551303
828  503153  498986  0.828212
829  504554  503041  0.299878
830  505960  503041  0.576933
831  507331  503041  0.845611
832  508799  505091  0.728804
833  510258  507147  0.609613
834  511697  509210  0.486043
835  513050  513355  0.0595317
836  514528  513355  0.227893
837  515983  513355  0.509236
838  517497  513355  0.800309
839  518887  513355  1.06605
840  520392  513355  1.35217
841  521862  513355  1.63004
842  523489  515483  1.52933
843  525011  517615  1.40874
844  526545  519755  1.28946
845  527938  521903  1.1432
846  529380  524058  1.00538
847  530943  526223  0.889068
848  532487  530559  0.362032
849  534224  532735  0.278723
850  535793  532735  0.570743
851  537323  532735  0.853863
852  538962  532735  1.15537
853  540421  534941  1.01398
854  542032  537162  0.898543
855  543493  539389  0.755106
856  545147  539389  1.05622
857  546872  539389  1.36832
858  548379  539389  1.63937
859  550077  541641  1.53352
860  551691  541641  1.82159
861  553243  541641  2.09701
862  554749  546196  1.54178
863  556339  548483  1.41211
864  558057  550776  1.30463
865  559749  553082  1.19106
866  561303  553082  1.46462
867  562964  557720  0.931578
868  564627  560044  0.811678
869  566329  560044  1.10977
870  568080  562390  1.00158
871  569562  564741  0.846444
872  571198  569459  0.304482
873  572738  569459  0.572547
874  574423  571832  0.451129
875  576119  571832  0.744185
876  577688  571832  1.01376
877  579333  571832  1.29483
878  581149  571832  1.60327
879  582844  571832  1.88942
880  584564  576676  1.34938
881  586324  576676  1.6455
882  588005  584006  0.680143
883  589716  588913  0.136164
884  591481  596287  0.81247
885  593213  596287  0.518128
886  594968  596287  0.221626
887  596723  596287  0.0731321
888  598394  596287  0.352175
889  600118  598783  0.22242
890  602002  598783  0.53468
891  603701  601297  0.398233
892  605472  601297  0.689567
893  607249  601297  0.980181
894  608873  603842  0.826209
895  610644  606392  0.696347
896  612425  608955  0.566602
897  614147  608955  0.845402
898  615900  608955  1.12762
899  617646  608955  1.40712
900  619423  611546  1.27167
901  621296  611546  1.56931
902  623096  614157  1.43466
903  625018  614157  1.73776
904  626731  614157  2.00634
905  628472  616792  1.85844
906  630177  616792  2.12397
907  632097  616792  2.42127
908  633998  616792  2.71385
909  635835  619463  2.57483
910  637736  630199  1.18179
911  639643  635582  0.634878
912  641638  638281  0.523251
913  643645  638281  0.833437
914  645589  640999  0.710968
915  647653  640999  1.02739
916  649504  640999  1.30945
917  651461  640999  1.60592
918  653379  640999  1.89475
919  655291  640999  2.18101
920  656994  640999  2.43456
921  658704  640999  2.68784
922  660547  643784  2.53776
923  662566  643784  2.83475
924  664807  643784  3.16228
