Serial  Exact_Count  Global_Count  Error
641  285644  275100  5.72298e-309
642  286616  276700  5.72302e-309
643  287466  277700  5.72309e-309
644  288422  278600  5.72372e-309
645  289398  279600  5.7241e-309
646  290342  280400  5.72427e-309
647  291167  281400  5.72438e-309
648  292168  283100  5.7244e-309
649  293157  283700  5.72476e-309
650  294060  284600  5.72489e-309
651  295008  285300  5.72521e-309
652  295894  286000  5.72548e-309
653  296875  287200  5.72557e-309
654  297815  288600  5.72591e-309
655  298716  289300  5.72633e-309
656  299614  290000  5.72678e-309
657  300666  290600  5.72678e-309
658  301573  292200  5.72695e-309
659  302524  293200  5.7272e-309
660  303457  293800  5.72731e-309
661  304377  294300  5.72733e-309
662  305324  295400  5.72746e-309
663  306213  296100  5.72788e-309
664  307204  296800  5.7282e-309
665  308403  297600  5.72835e-309
666  309352  298600  5.72835e-309
667  310288  300100  5.7285e-309
668  311253  301200  5.72858e-309
669  312288  302500  5.72892e-309
670  313188  303400  5.72916e-309
671  314268  304700  5.72922e-309
672  315257  306000  5.72928e-309
673  316434  307500  5.72928e-309
674  317429  308600  5.72932e-309
675  318547  309300  5.72939e-309
676  319533  309900  5.72949e-309
677  320527  311200  5.72956e-309
678  321555  312000  5.73045e-309
679  322752  313200  5.73077e-309
680  323832  314100  5.73085e-309
681  324825  314800  3.08628
682  325874  315500  3.18344
683  326831  316500  3.16096
684  327964  317400  3.22109
685  328980  318100  3.30719
686  330107  319400  3.24349
687  331148  320300  3.27588
688  332246  321200  3.32464
689  333316  322100  3.36497
690  334325  323200  3.3276
691  335427  324400  3.28745
692  336392  326100  3.05953
693  337538  327100  3.09239
694  338671  328400  3.03274
695  339692  329400  3.0298
696  340763  330700  2.95308
697  341749  332000  2.85268
698  342752  333200  2.78685
699  343788  334400  2.73075
700  344942  335700  2.67929
701  345913  336100  2.83684
702  347039  337500  2.74868
703  348130  338200  2.85238
704  349133  339300  2.81641
705  350233  340600  2.75045
706  351315  341300  2.85072
707  352362  342400  2.82721
708  353395  343100  2.91317
709  354607  344400  2.8784
710  355738  345500  2.87796
711  356858  346500  2.90256
712  357853  347000  3.03281
713  358982  347800  3.11492
714  360102  349100  3.05525
715  361240  350400  3.00078
716  362305  351500  2.98229
717  363339  352300  3.03821
718  364469  353500  3.00958
719  365722  354600  3.04111
720  366925  355600  3.08646
721  368094  357000  3.0139
722  369118  358100  2.98495
723  370136  359000  3.00862
724  371355  360300  2.97694
725  372412  361300  2.98379
726  373550  362000  3.09196
727  374650  362600  3.21634
728  375802  363200  3.35336
729  376969  364300  3.36075
730  378136  365400  3.3681
731  379342  366400  3.4117
732  380545  368200  3.24403
733  381625  369300  3.22961
734  382847  371000  3.09445
735  383895  372700  2.91616
736  385143  373300  3.07496
737  386212  374500  3.03253
738  387366  375500  3.06325
739  388514  376000  3.22099
740  389525  376800  3.2668
741  390610  379100  2.94667
742  391680  380200  2.93096
743  392922  381500  2.90694
744  394215  382900  2.87026
745  395322  384400  2.76281
746  396450  385500  2.76201
747  397628  386200  2.87404
748  398919  387700  2.81235
749  400065  388300  2.94077
750  401150  389500  2.90415
751  402259  390600  2.89838
752  403399  391600  2.9249
753  404741  392600  2.9997
754  405917  393500  3.059
755  407123  395000  2.97772
756  408269  396200  2.95614
757  409486  397000  3.04919
758  410734  398100  3.07596
759  411881  399800  2.93313
760  413115  401300  2.85998
761  414268  402400  2.86481
762  415337  403100  2.94628
763  416537  404400  2.91379
764  417758  405200  3.00605
765  418911  406000  3.08204
766  420191  407400  3.04409
767  421383  409400  2.84373
768  422530  410300  2.89447
769  423860  411600  2.89246
770  425095  413200  2.7982
771  426269  414300  2.80785
772  427548  415500  2.81793
773  428860  416300  2.92869
774  430101  417800  2.86003
775  431382  418800  2.91667
776  432710  420700  2.77553
777  434018  421400  2.90725
778  435344  423000  2.83546
779  436556  424600  2.73871
780  437714  425900  2.69902
781  439074  427400  2.65878
782  440354  429300  2.51025
783  441513  430800  2.42643
784  442839  432200  2.40245
785  444151  433400  2.42057
786  445454  435200  2.30192
787  446752  435700  2.47386
788  448169  437600  2.35826
789  449488  438600  2.42231
790  450797  439200  2.57255
791  452162  440000  2.68974
792  453516  441200  2.71567
793  454876  442600  2.69876
794  456197  443600  2.76131
795  457543  445300  2.67581
796  458854  446600  2.67057
797  460169  447700  2.70966
798  461447  449100  2.67571
799  462744  450800  2.58112
800  464159  453000  2.40413
801  465507  453700  2.53637
802  466902  454300  2.69907
803  468233  455600  2.69802
804  469497  456600  2.74698
805  470816  458100  2.70084
806  472146  458900  2.80549
807  473598  459900  2.89233
808  474988  461100  2.92386
809  476298  462600  2.87593
810  477706  464400  2.7854
811  479102  465600  2.81819
812  480475  466800  2.84614
813  481962  467900  2.91766
814  483268  469000  2.9524
815  484675  470100  3.00717
816  486072  471400  3.01848
817  487472  472700  3.03033
818  488988  474200  3.02421
819  490409  475500  3.04012
820  491776  476800  3.04529
821  493228  478900  2.90494
822  494667  481100  2.74265
823  496061  481900  2.85469
824  497440  483500  2.80235
825  498926  484900  2.81124
826  500275  486400  2.77347
827  501752  487200  2.90024
828  503153  488900  2.83274
829  504554  490000  2.88453
830  505960  490900  2.97652
831  507331  491900  3.0416
832  508799  493600  2.98723
833  510258  495100  2.97065
834  511697  496700  2.93084
835  513050  497600  3.0114
836  514528  498900  3.03735
837  515983  500600  2.9813
838  517497  502700  2.85934
839  518887  504000  2.86903
840  520392  505200  2.91934
841  521862  506400  2.96285
842  523489  508000  2.9588
843  525011  509200  3.01156
844  526545  510300  3.08521
845  527938  511100  3.18939
846  529380  512400  3.20753
847  530943  514100  3.17228
848  532487  515900  3.11501
849  534224  517800  3.07437
850  535793  519200  3.0969
851  537323  520800  3.07506
852  538962  522400  3.07294
853  540421  523900  3.05706
854  542032  525500  3.05
855  543493  527100  3.01623
856  545147  528100  3.12705
857  546872  529500  3.17661
858  548379  530400  3.27857
859  550077  532500  3.19537
860  551691  533600  3.27919
861  553243  535000  3.29747
862  554749  536700  3.25354
863  556339  538400  3.22447
864  558057  539800  3.27153
865  559749  541000  3.34954
866  561303  542500  3.34988
867  562964  543900  3.38636
868  564627  545500  3.38755
869  566329  547100  3.39538
870  568080  548200  3.49951
871  569562  549800  3.46968
872  571198  551900  3.37851
873  572738  552800  3.48117
874  574423  554000  3.55539
875  576119  556100  3.4748
876  577688  558700  3.2869
877  579333  559900  3.35437
878  581149  561400  3.39827
879  582844  562200  3.54194
880  584564  564800  3.38098
881  586324  566400  3.39812
882  588005  568100  3.38518
883  589716  569300  3.46201
884  591481  571000  3.46266
885  593213  572600  3.47481
886  594968  574400  3.45699
887  596723  575500  3.55659
888  598394  576900  3.59195
889  600118  578500  3.60229
890  602002  580000  3.65481
891  603701  581300  3.71061
892  605472  583000  3.71148
893  607249  584800  3.69684
894  608873  586900  3.6088
895  610644  588700  3.59358
896  612425  590800  3.53104
897  614147  592500  3.52473
898  615900  594300  3.50706
899  617646  595900  3.52079
900  619423  597600  3.52312
901  621296  600300  3.37939
902  623096  602600  3.28938
903  625018  604500  3.28279
904  626731  606100  3.29184
905  628472  608200  3.2256
906  630177  610300  3.15419
907  632097  612100  3.1636
908  633998  613900  3.17004
909  635835  615000  3.27679
910  637736  616700  3.29854
911  639643  618200  3.35234
912  641638  620100  3.35672
913  643645  621900  3.37842
914  645589  623900  3.35957
